time,file,useWordModel,useTfIdfSimilarity,useSentimentSimilarity,usePageRank,useAggregateClustering,anaphoraResolution,ROUGE-1,ROUGE-2,ROUGE-3,ROUGE-SU4,ROUGE-L
36:12.4,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.4591,0.1442,0.0887,0.144,0.3805
50:29.4,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.4813,0.1739,0.1033,0.1627,0.4562
04:55.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5182,0.219,0.1564,0.2121,0.4908
19:02.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4484,0.1476,0.09,0.1469,0.4148
32:43.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4869,0.2152,0.1602,0.209,0.4592
33:15.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.5527,0.2874,0.2254,0.2799,0.4971
33:46.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.5527,0.2874,0.2254,0.2799,0.4971
34:18.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.5527,0.2874,0.2254,0.2799,0.4971
34:49.2,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.5527,0.2874,0.2254,0.2799,0.4971
38:52.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.4649,0.2037,0.1425,0.1988,0.437
43:14.2,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.5308,0.2299,0.1603,0.2243,0.5028
47:03.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.4467,0.1999,0.1426,0.1977,0.4181
51:07.2,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.5307,0.2467,0.1819,0.2465,0.4998
51:36.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0.5416,0.2596,0.1965,0.2541,0.4803
52:05.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.5416,0.2596,0.1965,0.2541,0.4803
